epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2879,2.05884,3.65377,1.54304,0.01793,0.67857,0.24878,0.15744,1.38955,3.94058,0.95467,0.00031108,0.00031108,0.00031108
2,62.0041,1.53847,1.8898,1.14369,0.0073,0.51746,0.25387,0.17699,1.31621,3.6897,0.93985,0.000620731,0.000620731,0.000620731
3,92.7936,1.40655,1.5457,1.09076,0.70439,0.19482,0.41334,0.27143,1.15609,2.78899,0.9341,0.000917624,0.000917624,0.000917624
4,123.477,1.35217,1.32857,1.08271,0.60763,0.41955,0.50348,0.32568,1.37359,2.07436,1.03306,0.00104501,0.00104501,0.00104501
5,154.28,1.33202,1.15556,1.06792,0.55596,0.59745,0.63742,0.47151,1.16237,1.27019,0.9606,0.00102301,0.00102301,0.00102301
6,185.044,1.27049,1.04987,1.05137,0.48699,0.73299,0.58058,0.38268,1.17646,1.10821,0.9664,0.00100101,0.00100101,0.00100101
7,215.783,1.26225,0.97785,1.0551,0.61906,0.6007,0.74708,0.56198,1.10505,1.03571,0.94551,0.000979013,0.000979013,0.000979013
8,246.681,1.22988,0.92458,1.04858,0.81526,0.77817,0.82905,0.61703,1.05559,0.82604,0.94046,0.000957015,0.000957015,0.000957015
9,277.608,1.20564,0.877,1.02747,0.80083,0.92357,0.90402,0.66902,1.07652,0.77347,0.94489,0.000935018,0.000935018,0.000935018
10,308.537,1.20132,0.85559,1.03404,0.90006,0.88187,0.92204,0.69002,1.0386,0.70892,0.93517,0.00091302,0.00091302,0.00091302
11,339.393,1.14419,0.80283,1.01077,0.88195,0.82564,0.89901,0.69681,1.02082,0.71195,0.92733,0.000891022,0.000891022,0.000891022
12,370.138,1.14673,0.79554,1.01466,0.94273,0.92435,0.95086,0.75825,0.93756,0.64582,0.91497,0.000869024,0.000869024,0.000869024
13,400.898,1.137,0.76766,1.00536,0.8837,0.83443,0.9058,0.7021,0.95929,0.66168,0.90423,0.000847026,0.000847026,0.000847026
14,431.63,1.12552,0.75254,0.99888,0.89985,0.94119,0.93845,0.6647,1.26124,0.68434,0.97882,0.000825029,0.000825029,0.000825029
15,462.413,1.1327,0.74218,1.00439,0.92875,0.94155,0.95653,0.74274,1.03836,0.61672,0.92389,0.000803031,0.000803031,0.000803031
16,493.202,1.08266,0.71212,0.98607,0.78551,0.92594,0.95438,0.77022,0.96287,0.62278,0.90798,0.000781033,0.000781033,0.000781033
17,524.479,1.09789,0.70635,0.98627,0.89603,0.95249,0.95782,0.73167,1.00315,0.58609,0.91764,0.000759035,0.000759035,0.000759035
18,555.363,1.07224,0.69057,0.98413,0.91287,0.93747,0.96012,0.73733,1.0132,0.59796,0.92227,0.000737037,0.000737037,0.000737037
19,586.614,1.07866,0.67984,0.9872,0.90783,0.94539,0.96549,0.77454,0.89244,0.55055,0.8875,0.00071504,0.00071504,0.00071504
20,617.604,1.0434,0.65913,0.975,0.90966,0.93865,0.9612,0.77344,0.89701,0.54456,0.89103,0.000693042,0.000693042,0.000693042
21,648.495,1.04676,0.65867,0.97636,0.87232,0.95548,0.95724,0.76574,0.92441,0.57257,0.90614,0.000671044,0.000671044,0.000671044
22,679.719,1.01899,0.63813,0.96315,0.83894,0.92157,0.93709,0.72742,0.96814,0.57534,0.89817,0.000649046,0.000649046,0.000649046
23,710.745,1.02757,0.64064,0.96663,0.88743,0.92471,0.9398,0.64886,1.12546,0.60284,0.95064,0.000627048,0.000627048,0.000627048
24,741.491,1.00412,0.62196,0.95919,0.92022,0.92667,0.94661,0.77745,0.89409,0.5342,0.89547,0.000605051,0.000605051,0.000605051
25,773.163,1.00202,0.61659,0.96122,0.92197,0.94196,0.95008,0.78495,0.85854,0.51491,0.88404,0.000583053,0.000583053,0.000583053
26,804.002,0.9988,0.60342,0.95709,0.91861,0.93192,0.95556,0.75412,0.93008,0.53714,0.89953,0.000561055,0.000561055,0.000561055
27,834.865,0.9965,0.60423,0.95537,0.91178,0.92417,0.94738,0.74404,0.9797,0.54289,0.90144,0.000539057,0.000539057,0.000539057
28,865.794,0.96565,0.58836,0.94818,0.90191,0.93021,0.9544,0.76483,0.92387,0.5251,0.89673,0.000517059,0.000517059,0.000517059
29,896.551,0.96682,0.58405,0.94724,0.92623,0.94453,0.96016,0.7866,0.87381,0.49737,0.88382,0.000495062,0.000495062,0.000495062
30,927.27,0.98893,0.57646,0.95026,0.8961,0.94871,0.94247,0.76839,0.85687,0.49376,0.88484,0.000473064,0.000473064,0.000473064
31,958.299,0.95333,0.56463,0.94393,0.92617,0.93064,0.94456,0.76625,0.86957,0.5089,0.88576,0.000451066,0.000451066,0.000451066
32,988.907,0.94436,0.55892,0.93861,0.8858,0.94617,0.95406,0.78274,0.88202,0.5178,0.88498,0.000429068,0.000429068,0.000429068
33,1019.68,0.94747,0.55597,0.93776,0.90291,0.93401,0.95601,0.78604,0.8544,0.50148,0.87895,0.00040707,0.00040707,0.00040707
34,1050.5,0.92001,0.5494,0.93398,0.91482,0.94541,0.95767,0.77884,0.85586,0.51514,0.88865,0.000385073,0.000385073,0.000385073
35,1081.51,0.93404,0.54537,0.9351,0.87052,0.94697,0.95633,0.78279,0.84659,0.49243,0.87518,0.000363075,0.000363075,0.000363075
36,1112.35,0.91939,0.53899,0.93014,0.88825,0.95584,0.95527,0.81277,0.81351,0.46408,0.87413,0.000341077,0.000341077,0.000341077
37,1143.32,0.89898,0.52723,0.92432,0.90321,0.93662,0.95592,0.80269,0.85312,0.47848,0.87825,0.000319079,0.000319079,0.000319079
38,1174.26,0.90296,0.52953,0.92602,0.84081,0.95797,0.94788,0.79722,0.82829,0.48083,0.87583,0.000297081,0.000297081,0.000297081
39,1205.14,0.88362,0.51177,0.9211,0.90491,0.9341,0.96205,0.79612,0.81928,0.46627,0.87451,0.000275084,0.000275084,0.000275084
40,1235.82,0.89899,0.51531,0.92364,0.92461,0.95601,0.96696,0.8055,0.80997,0.45444,0.87157,0.000253086,0.000253086,0.000253086
41,1270.03,0.87333,0.47895,0.91565,0.93061,0.91654,0.94791,0.81506,0.80215,0.46386,0.87484,0.000231088,0.000231088,0.000231088
42,1300.21,0.83865,0.45943,0.90507,0.92262,0.9238,0.94899,0.79102,0.85435,0.47196,0.88416,0.00020909,0.00020909,0.00020909
43,1330.25,0.8348,0.45183,0.90346,0.92173,0.92609,0.95982,0.79977,0.80163,0.46775,0.87137,0.000187092,0.000187092,0.000187092
44,1360.33,0.82459,0.4428,0.89945,0.92558,0.9235,0.94412,0.78676,0.82844,0.47387,0.8771,0.000165095,0.000165095,0.000165095
45,1390.41,0.80705,0.43632,0.89628,0.92356,0.92279,0.95397,0.79773,0.80384,0.46498,0.87219,0.000143097,0.000143097,0.000143097
46,1420.49,0.80011,0.43381,0.89409,0.92676,0.92744,0.95543,0.80571,0.80556,0.45768,0.8761,0.000121099,0.000121099,0.000121099
47,1450.48,0.78703,0.42907,0.88659,0.93201,0.91946,0.9582,0.81542,0.7989,0.45486,0.8753,9.91012e-05,9.91012e-05,9.91012e-05
