epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1735,1.85424,4.14519,1.51502,0.60172,0.67068,0.60613,0.41018,1.16187,1.0881,1.00206,0.000363346,0.000363346,0.000363346
2,110.399,1.39213,1.1835,1.17577,0.57421,0.57263,0.58376,0.29715,1.45578,1.50772,1.15152,0.000719152,0.000719152,0.000719152
3,165.64,1.41575,1.08124,1.20508,0.36106,0.51956,0.31479,0.17899,1.53545,5.03843,1.24723,0.00106029,0.00106029,0.00106029
4,220.923,1.37547,1.00622,1.19243,0.75639,0.64597,0.75766,0.46554,1.26875,1.72056,1.09636,0.00104501,0.00104501,0.00104501
5,276.397,1.3047,0.90938,1.1538,0.8294,0.72757,0.82976,0.57732,1.25165,1.0359,1.04555,0.00102301,0.00102301,0.00102301
6,331.761,1.26434,0.87104,1.13487,0.71427,0.85407,0.85952,0.64235,1.09744,0.70745,0.97502,0.00100101,0.00100101,0.00100101
7,387.165,1.24135,0.83249,1.12238,0.83894,0.78808,0.87232,0.6172,1.14792,0.76216,1.01217,0.000979013,0.000979013,0.000979013
8,442.334,1.19174,0.79238,1.1041,0.888,0.89181,0.95572,0.7132,1.05188,0.62531,0.9685,0.000957015,0.000957015,0.000957015
9,497.711,1.17651,0.75977,1.09527,0.8955,0.85077,0.93054,0.70055,1.07163,0.66801,0.97752,0.000935018,0.000935018,0.000935018
10,552.964,1.15931,0.75257,1.09348,0.82264,0.90833,0.91346,0.70254,0.98611,0.59952,0.94536,0.00091302,0.00091302,0.00091302
11,608.17,1.14126,0.73186,1.07608,0.8132,0.95195,0.93538,0.72605,1.00962,0.66889,0.94889,0.000891022,0.000891022,0.000891022
12,663.575,1.12105,0.69089,1.06083,0.87469,0.94705,0.95664,0.72891,1.03165,0.5885,0.94631,0.000869024,0.000869024,0.000869024
13,718.976,1.1097,0.69128,1.06492,0.88271,0.91722,0.9571,0.73775,0.91057,0.55432,0.93429,0.000847026,0.000847026,0.000847026
14,774.346,1.07893,0.66694,1.04982,0.91912,0.91991,0.95225,0.75419,0.95331,0.57231,0.9291,0.000825029,0.000825029,0.000825029
15,829.956,1.07118,0.66603,1.04178,0.92806,0.90376,0.94785,0.7556,0.94888,0.54861,0.92775,0.000803031,0.000803031,0.000803031
16,885.454,1.06444,0.64045,1.03679,0.87524,0.93416,0.94973,0.77351,0.90684,0.54093,0.91767,0.000781033,0.000781033,0.000781033
17,940.865,1.029,0.62834,1.0223,0.86322,0.97057,0.96954,0.79883,0.86852,0.50335,0.91553,0.000759035,0.000759035,0.000759035
18,996.363,1.03091,0.61671,1.02472,0.89857,0.96245,0.95583,0.77519,0.89662,0.51436,0.91829,0.000737037,0.000737037,0.000737037
19,1051.59,1.00791,0.60985,1.01961,0.8971,0.90198,0.94869,0.76673,0.91771,0.52166,0.93034,0.00071504,0.00071504,0.00071504
20,1106.78,1.02513,0.6065,1.02302,0.86657,0.94995,0.95778,0.7974,0.84538,0.48937,0.90719,0.000693042,0.000693042,0.000693042
21,1161.99,1.00768,0.59585,1.01443,0.90567,0.90156,0.96551,0.79147,0.86911,0.48136,0.90602,0.000671044,0.000671044,0.000671044
22,1217.23,0.99397,0.58168,1.00251,0.92071,0.94805,0.96468,0.78661,0.88061,0.49225,0.91043,0.000649046,0.000649046,0.000649046
23,1272.44,0.98232,0.58546,1.00799,0.92691,0.8993,0.9574,0.78542,0.86656,0.49986,0.91739,0.000627048,0.000627048,0.000627048
24,1327.65,0.96621,0.56932,1.00585,0.92889,0.9309,0.96795,0.79039,0.90159,0.49811,0.92289,0.000605051,0.000605051,0.000605051
25,1382.82,0.96164,0.55769,0.99547,0.8777,0.90891,0.96215,0.78953,0.84872,0.48652,0.91015,0.000583053,0.000583053,0.000583053
26,1438.02,0.9518,0.5479,0.99535,0.91508,0.91481,0.96221,0.78824,0.87355,0.49585,0.90658,0.000561055,0.000561055,0.000561055
27,1493.19,0.93451,0.54674,0.99151,0.89104,0.96318,0.96626,0.79878,0.85244,0.4627,0.9153,0.000539057,0.000539057,0.000539057
