epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.322,1.56986,1.76369,1.35674,0.85442,0.45701,0.71701,0.49527,1.1153,1.78993,1.07832,0.000367762,0.000367762,0.000367762
2,305.955,1.44161,1.1203,1.26981,0.38442,0.40509,0.31649,0.20765,1.7871,inf,1.40963,0.000723481,0.000723481,0.000723481
3,456.295,1.41462,1.07875,1.25654,0.60675,0.7334,0.67429,0.42345,1.23535,1.2494,1.06048,0.00106453,0.00106453,0.00106453
4,606.733,1.37838,1.00358,1.23253,0.86268,0.84413,0.89302,0.60429,1.14882,0.87199,1.05658,0.00104501,0.00104501,0.00104501
5,757.676,1.30552,0.92028,1.18007,0.88461,0.79336,0.9235,0.69502,0.96947,0.65933,0.9806,0.00102301,0.00102301,0.00102301
6,908.638,1.24984,0.84642,1.15113,0.8096,0.74938,0.84166,0.61383,1.0646,0.64381,1.00486,0.00100101,0.00100101,0.00100101
7,1058.98,1.24145,0.81875,1.15914,0.8811,0.82352,0.91125,0.68685,1.06589,0.638,0.99139,0.000979013,0.000979013,0.000979013
8,1209.42,1.2054,0.78754,1.13857,0.83427,0.88712,0.90368,0.64558,1.0341,0.62018,1.0089,0.000957015,0.000957015,0.000957015
9,1359.71,1.17105,0.76607,1.11969,0.85209,0.83868,0.90146,0.73459,0.86444,0.60377,0.93143,0.000935018,0.000935018,0.000935018
10,1510.62,1.14697,0.7468,1.11726,0.79718,0.90679,0.93249,0.73207,0.97741,0.57786,0.95605,0.00091302,0.00091302,0.00091302
11,1661.56,1.13594,0.70946,1.1,0.80719,0.92106,0.91663,0.75588,0.85189,0.53106,0.9238,0.000891022,0.000891022,0.000891022
12,1812.49,1.11069,0.69316,1.08827,0.82833,0.93551,0.94679,0.78196,0.83063,0.50845,0.91315,0.000869024,0.000869024,0.000869024
13,1963.38,1.0844,0.66837,1.07252,0.91774,0.92858,0.95027,0.74087,0.91075,0.50242,0.94589,0.000847026,0.000847026,0.000847026
14,2113.69,1.08933,0.6775,1.0874,0.85621,0.92913,0.93013,0.75844,0.88544,0.51373,0.92988,0.000825029,0.000825029,0.000825029
15,2263.99,1.05992,0.64306,1.0691,0.89433,0.90507,0.92187,0.72314,0.87016,0.50682,0.93833,0.000803031,0.000803031,0.000803031
16,2414.23,1.04519,0.63151,1.0555,0.84963,0.918,0.93442,0.76475,0.87236,0.47684,0.92221,0.000781033,0.000781033,0.000781033
17,2564.59,1.03738,0.62316,1.0619,0.94361,0.85793,0.9513,0.75385,0.84125,0.49132,0.9301,0.000759035,0.000759035,0.000759035
18,2714.69,1.02383,0.60914,1.04744,0.89651,0.91092,0.94046,0.78386,0.85047,0.49541,0.91829,0.000737037,0.000737037,0.000737037
19,2865.56,1.00028,0.58982,1.04588,0.92648,0.89995,0.95445,0.78663,0.87164,0.48167,0.91468,0.00071504,0.00071504,0.00071504
20,3016.42,0.99546,0.59199,1.04215,0.91371,0.87708,0.93896,0.77805,0.81283,0.47874,0.91817,0.000693042,0.000693042,0.000693042
21,3166.82,0.99884,0.59274,1.04174,0.84096,0.93247,0.94642,0.78158,0.82172,0.46746,0.91891,0.000671044,0.000671044,0.000671044
22,3316.91,0.97764,0.57256,1.02869,0.88899,0.90293,0.95451,0.79895,0.77665,0.44366,0.90197,0.000649046,0.000649046,0.000649046
23,3467.72,0.96612,0.56926,1.0246,0.88745,0.91399,0.94686,0.78691,0.81742,0.4596,0.91776,0.000627048,0.000627048,0.000627048
24,3617.91,0.96617,0.5629,1.0261,0.90949,0.85335,0.95652,0.78497,0.8368,0.45585,0.91772,0.000605051,0.000605051,0.000605051
25,3768.13,0.9471,0.55358,1.01592,0.91822,0.90069,0.96265,0.81847,0.75608,0.43803,0.89667,0.000583053,0.000583053,0.000583053
26,3919.09,0.92753,0.53123,1.01432,0.84475,0.98134,0.95158,0.78294,0.75124,0.42913,0.89799,0.000561055,0.000561055,0.000561055
27,4069.51,0.92526,0.53269,1.00999,0.88282,0.92236,0.9695,0.80959,0.77049,0.4386,0.89988,0.000539057,0.000539057,0.000539057
28,4219.73,0.9244,0.53115,1.00728,0.84255,0.96391,0.96453,0.8008,0.81463,0.44503,0.91512,0.000517059,0.000517059,0.000517059
29,4369.88,0.89666,0.5164,1.00238,0.8794,0.93957,0.95517,0.79251,0.75714,0.4239,0.89897,0.000495062,0.000495062,0.000495062
30,4520.17,0.89321,0.51383,0.99934,0.90894,0.90762,0.95373,0.80338,0.74099,0.41762,0.89415,0.000473064,0.000473064,0.000473064
31,4670.42,0.90537,0.5059,1.00564,0.91643,0.94025,0.96798,0.81889,0.75833,0.42891,0.89669,0.000451066,0.000451066,0.000451066
32,4821.27,0.8773,0.49279,0.9881,0.92068,0.91279,0.96749,0.80717,0.77762,0.41316,0.90549,0.000429068,0.000429068,0.000429068
33,4971.61,0.85936,0.48405,0.9819,0.91667,0.9172,0.96544,0.82714,0.71965,0.39954,0.88691,0.00040707,0.00040707,0.00040707
34,5122.65,0.86279,0.48259,0.98455,0.92689,0.9087,0.95945,0.80988,0.76029,0.4081,0.89777,0.000385073,0.000385073,0.000385073
35,5272.84,0.85945,0.47895,0.98176,0.94578,0.89245,0.96189,0.82174,0.7634,0.40801,0.89859,0.000363075,0.000363075,0.000363075
36,5423.1,0.84006,0.467,0.97272,0.89503,0.90272,0.96326,0.81953,0.74709,0.4145,0.89781,0.000341077,0.000341077,0.000341077
37,5573.41,0.83789,0.46145,0.97069,0.94533,0.903,0.95989,0.82134,0.73161,0.3905,0.8858,0.000319079,0.000319079,0.000319079
38,5723.61,0.82072,0.46357,0.96727,0.92252,0.89623,0.96376,0.81883,0.725,0.40188,0.88637,0.000297081,0.000297081,0.000297081
39,5873.91,0.8189,0.45669,0.9633,0.9321,0.89446,0.96224,0.80609,0.71589,0.39564,0.88563,0.000275084,0.000275084,0.000275084
40,6024.15,0.80702,0.4459,0.95957,0.92909,0.88936,0.96454,0.83766,0.68695,0.37775,0.87984,0.000253086,0.000253086,0.000253086
41,6176.36,0.77259,0.40587,0.94963,0.92759,0.87511,0.96156,0.82283,0.71623,0.39306,0.88426,0.000231088,0.000231088,0.000231088
42,6326.14,0.7648,0.39846,0.95225,0.93906,0.87598,0.9608,0.82469,0.7429,0.38766,0.89337,0.00020909,0.00020909,0.00020909
43,6476.15,0.74778,0.38778,0.94164,0.94157,0.87581,0.95873,0.82956,0.6981,0.38635,0.88237,0.000187092,0.000187092,0.000187092
44,6626.01,0.72767,0.37602,0.93168,0.85868,0.9453,0.94867,0.82414,0.70676,0.3893,0.88766,0.000165095,0.000165095,0.000165095
45,6775.97,0.73133,0.37284,0.93508,0.89409,0.93585,0.95018,0.82246,0.71962,0.38405,0.88936,0.000143097,0.000143097,0.000143097
46,6925.91,0.71991,0.36484,0.93087,0.94575,0.89925,0.95954,0.82705,0.71228,0.38102,0.88638,0.000121099,0.000121099,0.000121099
47,7075.87,0.70394,0.35737,0.91872,0.94289,0.90373,0.96458,0.84684,0.68124,0.36996,0.8769,9.91012e-05,9.91012e-05,9.91012e-05
48,7226.5,0.69712,0.35338,0.9196,0.89924,0.91679,0.96137,0.83248,0.69497,0.37359,0.88221,7.71034e-05,7.71034e-05,7.71034e-05
49,7376.41,0.69061,0.34709,0.91231,0.94068,0.89939,0.95983,0.82924,0.68873,0.36871,0.88084,5.51056e-05,5.51056e-05,5.51056e-05
50,7526.53,0.68338,0.34374,0.91462,0.95348,0.90247,0.96481,0.83303,0.67901,0.36853,0.8771,3.31078e-05,3.31078e-05,3.31078e-05
