epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.968,1.62549,1.92752,1.35213,0.50211,0.28803,0.30244,0.16982,1.91009,2.63216,1.33213,0.000366476,0.000366476,0.000366476
2,203.376,1.4299,1.10312,1.23049,0.28896,0.68989,0.45652,0.25014,1.6544,1.75251,1.19203,0.00072222,0.00072222,0.00072222
3,304.646,1.41314,1.07175,1.2246,0.88544,0.59892,0.80145,0.52114,1.309,1.26775,1.0778,0.0010633,0.0010633,0.0010633
4,405.841,1.36934,0.99764,1.19313,0.63481,0.75155,0.7308,0.50953,1.13174,0.96954,1.0308,0.00104501,0.00104501,0.00104501
5,506.887,1.32483,0.92286,1.16892,0.75975,0.79833,0.84763,0.57585,1.28397,0.88631,1.0266,0.00102301,0.00102301,0.00102301
6,608.391,1.27087,0.85961,1.14423,0.80216,0.8623,0.90939,0.72087,1.00276,0.68332,0.95217,0.00100101,0.00100101,0.00100101
7,709.641,1.2468,0.82085,1.13825,0.84958,0.78629,0.88088,0.65114,0.9962,0.63712,0.96145,0.000979013,0.000979013,0.000979013
8,810.681,1.19223,0.77633,1.10988,0.9087,0.88934,0.93361,0.68335,1.00695,0.61072,0.96541,0.000957015,0.000957015,0.000957015
9,911.578,1.19165,0.76392,1.10691,0.87016,0.90051,0.93967,0.73624,0.91756,0.57877,0.93144,0.000935018,0.000935018,0.000935018
10,1012.83,1.14822,0.73425,1.08894,0.85057,0.92211,0.92063,0.71706,0.94772,0.59034,0.93839,0.00091302,0.00091302,0.00091302
11,1113.81,1.12855,0.71758,1.07324,0.87436,0.93997,0.91374,0.68833,0.98772,0.57238,0.95078,0.000891022,0.000891022,0.000891022
12,1214.73,1.10351,0.70217,1.0764,0.91445,0.93238,0.93677,0.71214,0.93787,0.54737,0.93386,0.000869024,0.000869024,0.000869024
13,1315.68,1.0964,0.69062,1.06601,0.79326,0.92266,0.9163,0.71299,0.94128,0.56,0.93932,0.000847026,0.000847026,0.000847026
14,1416.75,1.07058,0.6661,1.05137,0.81296,0.94362,0.92984,0.72335,0.89064,0.54458,0.91904,0.000825029,0.000825029,0.000825029
15,1518.35,1.07895,0.66308,1.05352,0.93962,0.90515,0.94465,0.75455,0.85855,0.52612,0.91398,0.000803031,0.000803031,0.000803031
16,1621.56,1.03301,0.63427,1.03691,0.8937,0.92707,0.94187,0.7559,0.89922,0.52692,0.91709,0.000781033,0.000781033,0.000781033
17,1722.78,1.0369,0.63146,1.04206,0.88352,0.90585,0.93589,0.76842,0.93285,0.50837,0.9227,0.000759035,0.000759035,0.000759035
18,1823.91,1.02403,0.61645,1.02917,0.94025,0.90262,0.94957,0.80287,0.82887,0.50116,0.90491,0.000737037,0.000737037,0.000737037
19,1925.1,1.02185,0.60996,1.03415,0.92005,0.91945,0.94798,0.77425,0.88398,0.49518,0.91117,0.00071504,0.00071504,0.00071504
20,2025.98,1.00468,0.59951,1.02886,0.93677,0.89561,0.95193,0.81422,0.83255,0.47007,0.90133,0.000693042,0.000693042,0.000693042
21,2127.1,0.98874,0.59179,1.01972,0.85502,0.91442,0.9287,0.76496,0.90616,0.51218,0.91622,0.000671044,0.000671044,0.000671044
22,2228.06,0.98248,0.57796,1.01215,0.92822,0.93194,0.95812,0.7996,0.83316,0.46746,0.90608,0.000649046,0.000649046,0.000649046
23,2328.98,0.96531,0.57309,1.0078,0.8602,0.88916,0.93406,0.77348,0.83192,0.469,0.90201,0.000627048,0.000627048,0.000627048
24,2429.84,0.95373,0.57071,1.00701,0.89439,0.88196,0.94827,0.77125,0.82888,0.46875,0.90002,0.000605051,0.000605051,0.000605051
25,2530.79,0.93173,0.54885,0.99104,0.92692,0.92042,0.96602,0.80387,0.82684,0.45498,0.89679,0.000583053,0.000583053,0.000583053
26,2631.72,0.93381,0.55161,0.99626,0.9313,0.92316,0.95854,0.8092,0.79713,0.4497,0.89438,0.000561055,0.000561055,0.000561055
27,2732.45,0.92778,0.54135,0.99026,0.93601,0.88575,0.94433,0.79448,0.82123,0.45558,0.89365,0.000539057,0.000539057,0.000539057
28,2833.33,0.91965,0.53466,0.98854,0.87897,0.91562,0.95622,0.80578,0.80873,0.47561,0.89647,0.000517059,0.000517059,0.000517059
29,2934.32,0.91076,0.52564,0.9871,0.94703,0.90824,0.96574,0.82883,0.77869,0.45212,0.88725,0.000495062,0.000495062,0.000495062
30,3035.49,0.89176,0.5128,0.97559,0.91976,0.90014,0.94703,0.79107,0.79709,0.46097,0.89363,0.000473064,0.000473064,0.000473064
31,3136.47,0.88658,0.5042,0.97518,0.89568,0.94116,0.95298,0.80548,0.80802,0.45041,0.88714,0.000451066,0.000451066,0.000451066
32,3237.38,0.87503,0.49489,0.97545,0.92521,0.90382,0.95582,0.81175,0.80505,0.44157,0.8948,0.000429068,0.000429068,0.000429068
33,3338.3,0.86556,0.49853,0.97003,0.9029,0.90695,0.95503,0.81607,0.77675,0.43913,0.88802,0.00040707,0.00040707,0.00040707
34,3439.24,0.86883,0.4914,0.96557,0.92663,0.94868,0.96252,0.83384,0.75733,0.4328,0.87803,0.000385073,0.000385073,0.000385073
35,3540.68,0.84959,0.48272,0.96515,0.92874,0.93074,0.96851,0.84148,0.7758,0.42601,0.88647,0.000363075,0.000363075,0.000363075
36,3642.22,0.85007,0.48052,0.96146,0.9023,0.93108,0.96248,0.82227,0.75304,0.42047,0.88282,0.000341077,0.000341077,0.000341077
37,3743.18,0.82846,0.46836,0.95134,0.89411,0.91865,0.96447,0.82176,0.75936,0.42263,0.88353,0.000319079,0.000319079,0.000319079
38,3844.11,0.83072,0.47076,0.9588,0.91891,0.93439,0.96188,0.82328,0.76094,0.42306,0.88254,0.000297081,0.000297081,0.000297081
39,3945.03,0.82522,0.45912,0.9547,0.90706,0.93455,0.95419,0.8261,0.77625,0.42709,0.88087,0.000275084,0.000275084,0.000275084
40,4045.99,0.81871,0.46147,0.95013,0.91802,0.95442,0.96278,0.83498,0.75017,0.41918,0.87973,0.000253086,0.000253086,0.000253086
41,4148.17,0.78133,0.4099,0.94204,0.89056,0.96318,0.96092,0.83241,0.7814,0.4294,0.882,0.000231088,0.000231088,0.000231088
42,4248.9,0.76268,0.40688,0.93599,0.93312,0.90083,0.9608,0.83197,0.75107,0.4179,0.88129,0.00020909,0.00020909,0.00020909
43,4349.54,0.75905,0.39858,0.93806,0.94423,0.90166,0.96521,0.82365,0.76636,0.41548,0.88681,0.000187092,0.000187092,0.000187092
44,4450.16,0.74797,0.39216,0.92864,0.93826,0.89325,0.95686,0.82693,0.74003,0.40643,0.87662,0.000165095,0.000165095,0.000165095
45,4550.86,0.73337,0.38126,0.92245,0.93532,0.90151,0.9562,0.82952,0.72609,0.40404,0.87546,0.000143097,0.000143097,0.000143097
