epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.485,1.58029,1.56881,1.36248,0.56125,0.63847,0.63857,0.37327,1.32031,1.26783,1.11416,0.000368658,0.000368658,0.000368658
2,478.836,1.4831,1.16063,1.30399,0.68653,0.81642,0.75974,0.46673,1.37888,1.16839,1.17872,0.000724359,0.000724359,0.000724359
3,717.36,1.44944,1.11692,1.28796,0.61978,0.75014,0.78884,0.53444,1.11966,0.96199,1.03789,0.0010654,0.0010654,0.0010654
4,955.273,1.37983,1.01379,1.24411,0.68095,0.8619,0.84071,0.60357,1.04414,0.72847,0.99916,0.00104501,0.00104501,0.00104501
5,1192.68,1.32211,0.92809,1.20718,0.78564,0.89912,0.88219,0.62196,1.08099,0.69415,1.00832,0.00102301,0.00102301,0.00102301
6,1429.97,1.27166,0.89089,1.18626,0.75637,0.87715,0.88057,0.61477,1.18961,0.74163,1.05525,0.00100101,0.00100101,0.00100101
7,1665.69,1.24534,0.83923,1.1732,0.82152,0.87632,0.89034,0.65906,1.12291,0.68255,0.99538,0.000979013,0.000979013,0.000979013
8,1903.19,1.18449,0.7865,1.14983,0.83905,0.88867,0.91568,0.735,0.94746,0.60513,0.96056,0.000957015,0.000957015,0.000957015
9,2141,1.20155,0.79636,1.15597,0.88393,0.90968,0.92171,0.73939,0.9672,0.57188,0.96141,0.000935018,0.000935018,0.000935018
10,2378.27,1.15017,0.75967,1.1298,0.88503,0.8981,0.94581,0.76653,0.89515,0.52707,0.91865,0.00091302,0.00091302,0.00091302
11,2615.54,1.14203,0.72664,1.12523,0.92176,0.90298,0.93573,0.74603,0.89629,0.54553,0.92461,0.000891022,0.000891022,0.000891022
12,2851.21,1.10891,0.70304,1.10668,0.80157,0.91862,0.90884,0.72492,0.90059,0.53887,0.92281,0.000869024,0.000869024,0.000869024
13,3086.85,1.09799,0.68099,1.09174,0.87609,0.82364,0.92549,0.75461,0.90689,0.53296,0.93727,0.000847026,0.000847026,0.000847026
14,3322.7,1.08112,0.67833,1.0906,0.9002,0.90453,0.94088,0.76656,0.90972,0.50864,0.91779,0.000825029,0.000825029,0.000825029
15,3558.34,1.082,0.65838,1.09072,0.85425,0.96172,0.95543,0.7661,0.86709,0.49392,0.92137,0.000803031,0.000803031,0.000803031
16,3795.75,1.05796,0.64975,1.07487,0.85455,0.91436,0.93098,0.76644,0.88134,0.47997,0.91806,0.000781033,0.000781033,0.000781033
17,4031.47,1.04809,0.63375,1.0693,0.89609,0.92471,0.95631,0.78509,0.83983,0.48634,0.91667,0.000759035,0.000759035,0.000759035
18,4268.88,1.0247,0.61274,1.06341,0.88143,0.88666,0.94849,0.79343,0.83836,0.49162,0.90744,0.000737037,0.000737037,0.000737037
19,4506.35,1.02231,0.62078,1.06234,0.98145,0.90596,0.9702,0.78562,0.83675,0.48198,0.90306,0.00071504,0.00071504,0.00071504
20,4742.01,1.01767,0.61975,1.0614,0.90077,0.90738,0.95571,0.79434,0.83031,0.47867,0.90241,0.000693042,0.000693042,0.000693042
21,4979.55,0.99061,0.5971,1.0456,0.91892,0.92499,0.95306,0.80027,0.80843,0.47166,0.90387,0.000671044,0.000671044,0.000671044
22,5217.02,0.98531,0.5883,1.04225,0.84081,0.9089,0.94882,0.77731,0.84041,0.4816,0.90862,0.000649046,0.000649046,0.000649046
23,5452.59,0.97804,0.57452,1.03973,0.89325,0.92362,0.96016,0.79196,0.86528,0.46787,0.90258,0.000627048,0.000627048,0.000627048
24,5688.65,0.95435,0.56323,1.0295,0.88841,0.93937,0.95647,0.79915,0.83517,0.46712,0.9047,0.000605051,0.000605051,0.000605051
25,5924.48,0.94931,0.55957,1.02449,0.86535,0.92928,0.9473,0.7841,0.81014,0.45259,0.89772,0.000583053,0.000583053,0.000583053
26,6160.55,0.94124,0.55057,1.02333,0.94925,0.9191,0.9721,0.80829,0.81596,0.44953,0.89418,0.000561055,0.000561055,0.000561055
27,6398.02,0.93347,0.54873,1.01972,0.88109,0.90984,0.95213,0.79356,0.82622,0.45649,0.88946,0.000539057,0.000539057,0.000539057
28,6633.98,0.92386,0.53751,1.01267,0.95211,0.9165,0.97274,0.7907,0.86061,0.43822,0.90138,0.000517059,0.000517059,0.000517059
29,6870.19,0.91583,0.53046,1.00592,0.90576,0.94046,0.97037,0.80357,0.80451,0.43242,0.89291,0.000495062,0.000495062,0.000495062
30,7105.72,0.9067,0.52437,1.00571,0.92525,0.90429,0.96688,0.7991,0.81397,0.44323,0.89087,0.000473064,0.000473064,0.000473064
31,7341.91,0.89595,0.5182,1.01244,0.89002,0.95489,0.96795,0.80511,0.78035,0.43043,0.88816,0.000451066,0.000451066,0.000451066
32,7578.07,0.88696,0.50796,1.00013,0.97007,0.90319,0.97081,0.83195,0.76232,0.42307,0.88917,0.000429068,0.000429068,0.000429068
33,7815.37,0.87258,0.49802,0.99505,0.94142,0.89123,0.96766,0.81509,0.77214,0.43023,0.88723,0.00040707,0.00040707,0.00040707
34,8051.11,0.86254,0.49195,0.98865,0.90006,0.91312,0.96395,0.82095,0.76552,0.41963,0.88442,0.000385073,0.000385073,0.000385073
35,8286.65,0.85561,0.48727,0.98643,0.93733,0.94942,0.9747,0.8227,0.76427,0.40809,0.88737,0.000363075,0.000363075,0.000363075
36,8522.41,0.84908,0.48193,0.98044,0.89033,0.94487,0.96876,0.81371,0.73923,0.41192,0.8817,0.000341077,0.000341077,0.000341077
37,8757.95,0.83575,0.46723,0.97405,0.89981,0.95664,0.97254,0.80889,0.75745,0.40883,0.87617,0.000319079,0.000319079,0.000319079
38,8993.53,0.82423,0.46471,0.97784,0.90811,0.93445,0.96945,0.83831,0.73945,0.40785,0.87166,0.000297081,0.000297081,0.000297081
39,9231.41,0.8172,0.45383,0.97431,0.89665,0.9542,0.96955,0.84346,0.72788,0.40596,0.87219,0.000275084,0.000275084,0.000275084
40,9469,0.81179,0.45418,0.9678,0.90732,0.94512,0.97172,0.83253,0.75126,0.40505,0.8801,0.000253086,0.000253086,0.000253086
41,9705.4,0.77647,0.40439,0.9634,0.94062,0.93785,0.96634,0.81605,0.75682,0.40883,0.8796,0.000231088,0.000231088,0.000231088
42,9941.02,0.76196,0.40089,0.95736,0.90129,0.93422,0.96641,0.82472,0.73656,0.40738,0.87516,0.00020909,0.00020909,0.00020909
43,10176.4,0.74953,0.39255,0.94641,0.90797,0.98175,0.97655,0.84667,0.72696,0.38537,0.87434,0.000187092,0.000187092,0.000187092
44,10413.6,0.73609,0.3831,0.94211,0.91406,0.95734,0.97611,0.84243,0.71319,0.39648,0.86979,0.000165095,0.000165095,0.000165095
45,10648.9,0.73618,0.38238,0.94277,0.92145,0.91916,0.96772,0.8448,0.72227,0.39876,0.87169,0.000143097,0.000143097,0.000143097
46,10884.2,0.71907,0.37672,0.93521,0.92174,0.91391,0.96416,0.84375,0.70731,0.3911,0.87103,0.000121099,0.000121099,0.000121099
47,11119.7,0.70809,0.36524,0.92634,0.91315,0.93228,0.96914,0.83994,0.7094,0.39679,0.87016,9.91012e-05,9.91012e-05,9.91012e-05
48,11355.1,0.69667,0.3619,0.92813,0.90813,0.96245,0.96775,0.84933,0.70537,0.38439,0.86665,7.71034e-05,7.71034e-05,7.71034e-05
49,11592.3,0.6872,0.35281,0.91787,0.92217,0.92339,0.97048,0.85349,0.70498,0.38252,0.86868,5.51056e-05,5.51056e-05,5.51056e-05
50,11829.5,0.68621,0.35207,0.92333,0.90783,0.95953,0.97022,0.86015,0.69858,0.37889,0.86684,3.31078e-05,3.31078e-05,3.31078e-05
